model,class,bucket_low,bucket_high,predicted_mean,actual_freq,count
CatBoost,Higher,0.2,0.30000000000000004,0.24906801591280714,0.0,12
CatBoost,Higher,0.3,0.4,0.34301431887994605,0.07142857142857142,14
CatBoost,Higher,0.4,0.5,0.42038590901733297,0.2857142857142857,7
CatBoost,Higher,0.5,0.6,0.5499047051979045,0.14285714285714285,7
CatBoost,Higher,0.6,0.7,0.6709223069278744,0.7142857142857143,7
CatBoost,Higher,0.7,0.7999999999999999,0.7412294560487342,0.5714285714285714,7
CatBoost,Higher,0.8,0.9,0.85557876553463,0.42857142857142855,7
CatBoost,Higher,0.9,1.0,0.9435007841126105,0.6666666666666666,3
HistGradientBoosting,Lower,0.0,0.1,0.016626906399113975,0.04081632653061224,49
HistGradientBoosting,Lower,0.1,0.2,0.1821967731761033,0.0,6
HistGradientBoosting,Lower,0.2,0.30000000000000004,0.22702046417392105,0.0,14
HistGradientBoosting,Lower,0.3,0.4,0.3431642128666012,0.4,5
HistGradientBoosting,Lower,0.4,0.5,0.4418573896537614,0.375,8
HistGradientBoosting,Lower,0.5,0.6,,,0
HistGradientBoosting,Lower,0.6,0.7,0.6280821871727151,0.0,1
HistGradientBoosting,Lower,0.7,0.7999999999999999,0.7215862144958454,0.3333333333333333,3
HistGradientBoosting,Lower,0.8,0.9,0.8256419619924649,0.3333333333333333,3
HistGradientBoosting,Lower,0.9,1.0,0.9454666682212545,0.25,8
HistGradientBoosting,Same,0.0,0.1,0.03099200574253092,0.5128205128205128,39
HistGradientBoosting,Same,0.1,0.2,0.1658000894255863,0.8333333333333334,12
HistGradientBoosting,Same,0.2,0.30000000000000004,0.22975351589589638,0.5714285714285714,7
HistGradientBoosting,Same,0.3,0.4,0.3569395427250135,0.3333333333333333,3
HistGradientBoosting,Same,0.4,0.5,0.4279563400339915,0.6,5
HistGradientBoosting,Same,0.5,0.6,0.5567623759048789,1.0,7
HistGradientBoosting,Same,0.6,0.7,0.6127760237585962,1.0,5
HistGradientBoosting,Same,0.7,0.7999999999999999,0.7373199779579978,1.0,2
HistGradientBoosting,Same,0.8,0.9,0.870275254749815,0.5,2
HistGradientBoosting,Same,0.9,1.0,0.9610396134813742,0.8666666666666667,15
HistGradientBoosting,Higher,0.0,0.1,0.03305383559902743,0.16,25
HistGradientBoosting,Higher,0.1,0.2,0.1505530456597707,0.16666666666666666,6
HistGradientBoosting,Higher,0.2,0.30000000000000004,0.24337284554838115,0.0,13
HistGradientBoosting,Higher,0.3,0.4,0.3648519105063831,0.0,8
HistGradientBoosting,Higher,0.4,0.5,0.44089736637150767,0.0,4
HistGradientBoosting,Higher,0.5,0.6,0.5590536793824146,0.0,8
HistGradientBoosting,Higher,0.6,0.7,0.6467480203946536,0.6666666666666666,6
HistGradientBoosting,Higher,0.7,0.7999999999999999,0.7509774229810922,0.36363636363636365,11
HistGradientBoosting,Higher,0.8,0.9,0.8349099196290304,0.6666666666666666,3
HistGradientBoosting,Higher,0.9,1.0,0.9635502827560791,0.38461538461538464,13
