model,class,bucket_low,bucket_high,predicted_mean,actual_freq,count
CatBoost,Same,0.8,0.9,0.8523999402042363,0.9166666666666666,12
CatBoost,Same,0.9,1.0,0.9473217988444285,0.9166666666666666,12
CatBoost,Higher,0.0,0.1,0.046804153710789845,0.1111111111111111,18
CatBoost,Higher,0.1,0.2,0.1337017049760611,0.0,15
CatBoost,Higher,0.2,0.30000000000000004,0.2521534381370142,0.0,12
CatBoost,Higher,0.3,0.4,0.34852975134117037,0.07692307692307693,13
CatBoost,Higher,0.4,0.5,0.42654938000379944,0.2857142857142857,7
CatBoost,Higher,0.5,0.6,0.5509345542133953,0.2857142857142857,7
CatBoost,Higher,0.6,0.7,0.6647619305406127,0.5,6
CatBoost,Higher,0.7,0.7999999999999999,0.7392972316478843,0.625,8
CatBoost,Higher,0.8,0.9,0.8583069561791193,0.42857142857142855,7
CatBoost,Higher,0.9,1.0,0.9437606794921259,0.6666666666666666,3
HistGradientBoosting,Lower,0.0,0.1,0.016238560931678456,0.04081632653061224,49
HistGradientBoosting,Lower,0.1,0.2,0.1821967731761033,0.0,6
HistGradientBoosting,Lower,0.2,0.30000000000000004,0.2283758863019236,0.0,13
HistGradientBoosting,Lower,0.3,0.4,0.34457357087067053,0.3333333333333333,6
HistGradientBoosting,Lower,0.4,0.5,0.4420705603132881,0.2857142857142857,7
HistGradientBoosting,Lower,0.5,0.6,0.5098684795371503,1.0,1
HistGradientBoosting,Lower,0.6,0.7,0.6280821871727151,0.0,1
HistGradientBoosting,Lower,0.7,0.7999999999999999,0.7400783928150456,0.5,4
HistGradientBoosting,Lower,0.8,0.9,0.8634316047993856,0.0,1
HistGradientBoosting,Lower,0.9,1.0,0.9454144118555659,0.25,8
HistGradientBoosting,Same,0.0,0.1,0.03233675447097129,0.5128205128205128,39
HistGradientBoosting,Same,0.1,0.2,0.1726773227599114,0.75,12
HistGradientBoosting,Same,0.2,0.30000000000000004,0.2319097017889374,0.5714285714285714,7
HistGradientBoosting,Same,0.3,0.4,0.3834208837453206,0.5,2
HistGradientBoosting,Same,0.4,0.5,0.4223028015051514,0.6,5
HistGradientBoosting,Same,0.5,0.6,0.5623981359750815,1.0,7
HistGradientBoosting,Same,0.6,0.7,0.6187369817369863,1.0,5
HistGradientBoosting,Same,0.7,0.7999999999999999,0.7375637358619023,1.0,2
HistGradientBoosting,Same,0.8,0.9,0.870275254749815,0.5,2
HistGradientBoosting,Same,0.9,1.0,0.9609671736912273,0.8666666666666667,15
HistGradientBoosting,Higher,0.0,0.1,0.03187514732714873,0.16,25
HistGradientBoosting,Higher,0.1,0.2,0.15006405666283087,0.16666666666666666,6
HistGradientBoosting,Higher,0.2,0.30000000000000004,0.24445652500568568,0.0,12
HistGradientBoosting,Higher,0.3,0.4,0.3620127621064251,0.0,8
HistGradientBoosting,Higher,0.4,0.5,0.43940814626621216,0.0,4
HistGradientBoosting,Higher,0.5,0.6,0.5553223236333003,0.0,8
HistGradientBoosting,Higher,0.6,0.7,0.6369828546331189,0.6,5
HistGradientBoosting,Higher,0.7,0.7999999999999999,0.751260521196409,0.4166666666666667,12
HistGradientBoosting,Higher,0.8,0.9,0.8348136137052155,0.6666666666666666,3
HistGradientBoosting,Higher,0.9,1.0,0.9637014210278672,0.38461538461538464,13
