meeting_date,decision,decision_num,target_rate_lag1,target_rate_lag2,target_rate_lag3,target_rate_lag4,PCE_inflation_gap_lag1,PCE_inflation_gap_lag2,PCE_inflation_gap_lag3,PCE_inflation_gap_lag4,unemployment_gap_lag1,unemployment_gap_lag2,unemployment_gap_lag3,unemployment_gap_lag4,output_gap_pct_lag1,output_gap_pct_lag2,output_gap_pct_lag3,output_gap_pct_lag4,NFCI_lag1,NFCI_lag2,NFCI_lag3,NFCI_lag4,lagged_upper_bound,PCE_gap_change_1m,unemployment_gap_change_1m,output_gap_change_1q,nfci_change_1m,prev_decision,prev_decision_num,time_since_last_change,consecutive_same
2009-08-12,same,0.0,0.25,0.25,0.25,0.25,-3.018624689681269,-2.567573959166212,-2.525751678230957,-2.1111035530462767,4.455281357125444,3.9537220653206315,3.6531869918990036,2.75211684505575,-4.964901987110467,-4.984836679189037,-4.818655189795844,-4.486292211009456,0.7757499999999999,1.58725,2.0460000000000003,2.3106,0.25,-0.45105073051505684,0.5015592918048126,0.019934692078569682,-0.8115000000000001,same,0.0,3,3
2009-09-23,same,0.0,0.25,0.25,0.25,0.25,-3.100119771104102,-3.018624689681269,-2.567573959166212,-2.525751678230957,4.557112256341436,4.455281357125444,3.9537220653206315,3.6531869918990036,-4.71083237986075,-4.964901987110467,-4.984836679189037,-4.818655189795844,0.29075,0.7757499999999999,1.58725,2.0460000000000003,0.25,-0.08149508142283324,0.10183089921599198,0.2540696072497175,-0.48499999999999993,same,0.0,4,4
2009-11-04,same,0.0,0.25,0.25,0.25,0.25,-3.0227486786264395,-3.100119771104102,-3.018624689681269,-2.567573959166212,4.758163509655024,4.557112256341436,4.455281357125444,3.9537220653206315,-4.466730118650318,-4.71083237986075,-4.964901987110467,-4.984836679189037,0.1505,0.29075,0.7757499999999999,1.58725,0.25,0.07737109247766272,0.20105125331358753,0.24410226121043177,-0.14025,same,0.0,5,5
2009-12-16,same,0.0,0.25,0.25,0.25,0.25,-0.5393879877642709,-3.0227486786264395,-3.100119771104102,-3.018624689681269,4.86056280949578,4.758163509655024,4.557112256341436,4.455281357125444,-4.167734757728518,-4.466730118650318,-4.71083237986075,-4.964901987110467,-0.005999999999999999,0.1505,0.29075,0.7757499999999999,0.25,2.4833606908621686,0.10239929984075591,0.2989953609217997,-0.1565,same,0.0,6,6
2010-01-27,same,0.0,0.25,0.25,0.25,0.25,0.08971826829211782,-0.5393879877642709,-3.0227486786264395,-3.100119771104102,4.86191085602295,4.86056280949578,4.758163509655024,4.557112256341436,-4.112841658017152,-4.167734757728518,-4.466730118650318,-4.71083237986075,-0.101,-0.005999999999999999,0.1505,0.29075,0.25,0.6291062560563887,0.0013480465271706876,0.05489309971136613,-0.095,same,0.0,7,7
2010-03-16,same,0.0,0.25,0.25,0.25,0.25,0.301720615608116,0.08971826829211782,-0.5393879877642709,-3.0227486786264395,4.76325890255012,4.86191085602295,4.86056280949578,4.758163509655024,-4.057948558305785,-4.112841658017152,-4.167734757728518,-4.466730118650318,-0.19319999999999998,-0.101,-0.005999999999999999,0.1505,0.25,0.2120023473159982,-0.09865195347282985,0.05489309971136702,-0.09219999999999998,same,0.0,8,8
2010-04-28,same,0.0,0.25,0.25,0.25,0.25,0.3727160339801934,0.301720615608116,0.08971826829211782,-0.5393879877642709,4.8665942923965675,4.76325890255012,4.86191085602295,4.86056280949578,-3.6455918556000033,-4.057948558305785,-4.112841658017152,-4.167734757728518,-0.3495,-0.19319999999999998,-0.101,-0.005999999999999999,0.25,0.07099541837207735,0.10333538984644708,0.41235670270578195,-0.1563,same,0.0,9,9
2010-06-23,same,0.0,0.25,0.25,0.25,0.25,0.2821224304887089,0.3727160339801934,0.301720615608116,0.08971826829211782,4.868261987319791,4.8665942923965675,4.76325890255012,4.86191085602295,-3.439413504247112,-3.6455918556000033,-4.057948558305785,-4.112841658017152,-0.41879999999999995,-0.3495,-0.19319999999999998,-0.101,0.25,-0.09059360349148449,0.001667694923223273,0.2061783513528912,-0.06929999999999997,same,0.0,10,10
2010-08-10,same,0.0,0.25,0.25,0.25,0.25,-0.4377811768940125,0.2821224304887089,0.3727160339801934,0.301720615608116,4.372276804339791,4.868261987319791,4.8665942923965675,4.76325890255012,-3.1619373149481724,-3.439413504247112,-3.6455918556000033,-4.057948558305785,-0.04425,-0.41879999999999995,-0.3495,-0.19319999999999998,0.25,-0.7199036073827214,-0.49598518298000016,0.2774761892989397,0.37454999999999994,same,0.0,11,11
2010-09-21,same,0.0,0.25,0.25,0.25,0.25,-0.5176048441354757,-0.4377811768940125,0.2821224304887089,0.3727160339801934,4.476648182624803,4.372276804339791,4.868261987319791,4.8665942923965675,-2.9677636544898984,-3.1619373149481724,-3.439413504247112,-3.6455918556000033,-0.26325,-0.04425,-0.41879999999999995,-0.3495,0.25,-0.07982366724146317,0.10437137828501264,0.194173660458274,-0.21899999999999997,same,0.0,12,12
